Timestamp,Material_Name,Category,Price_USD
2022-01-01,Gallium Arsenide Wafers,Finished Wafers,323.27
2022-02-01,Gallium Arsenide Wafers,Finished Wafers,320.2
2022-03-01,Gallium Arsenide Wafers,Finished Wafers,305.08
2022-04-01,Gallium Arsenide Wafers,Finished Wafers,317.82
2022-05-01,Gallium Arsenide Wafers,Finished Wafers,318.81
2022-06-01,Gallium Arsenide Wafers,Finished Wafers,312.93
2022-07-01,Gallium Arsenide Wafers,Finished Wafers,321.14
2022-08-01,Gallium Arsenide Wafers,Finished Wafers,328.37
2022-09-01,Gallium Arsenide Wafers,Finished Wafers,347.34
2022-10-01,Gallium Arsenide Wafers,Finished Wafers,325.43
2022-11-01,Gallium Arsenide Wafers,Finished Wafers,326.5
2022-12-01,Gallium Arsenide Wafers,Finished Wafers,322.25
2023-01-01,Gallium Arsenide Wafers,Finished Wafers,298.64
2023-02-01,Gallium Arsenide Wafers,Finished Wafers,322.86
2023-03-01,Gallium Arsenide Wafers,Finished Wafers,323.97
2023-04-01,Gallium Arsenide Wafers,Finished Wafers,354.73
2023-05-01,Gallium Arsenide Wafers,Finished Wafers,320.74
2023-06-01,Gallium Arsenide Wafers,Finished Wafers,327.06
2023-07-01,Gallium Arsenide Wafers,Finished Wafers,322.76
2023-08-01,Gallium Arsenide Wafers,Finished Wafers,308.24
2023-09-01,Gallium Arsenide Wafers,Finished Wafers,337.83
2023-10-01,Gallium Arsenide Wafers,Finished Wafers,332.82
2023-11-01,Gallium Arsenide Wafers,Finished Wafers,333.33
2023-12-01,Gallium Arsenide Wafers,Finished Wafers,311.56
2024-01-01,Gallium Arsenide Wafers,Finished Wafers,341.16
2024-02-01,Gallium Arsenide Wafers,Finished Wafers,305.26
2024-03-01,Gallium Arsenide Wafers,Finished Wafers,330.71
2024-04-01,Gallium Arsenide Wafers,Finished Wafers,351.24
2024-05-01,Gallium Arsenide Wafers,Finished Wafers,310.52
2024-06-01,Gallium Arsenide Wafers,Finished Wafers,315.95
2024-07-01,Gallium Arsenide Wafers,Finished Wafers,324.48
2024-08-01,Gallium Arsenide Wafers,Finished Wafers,316.76
2024-09-01,Gallium Arsenide Wafers,Finished Wafers,303.35
2024-10-01,Gallium Arsenide Wafers,Finished Wafers,324.08
2024-11-01,Gallium Arsenide Wafers,Finished Wafers,309.6
2024-12-01,Gallium Arsenide Wafers,Finished Wafers,329.26
2025-01-01,Gallium Arsenide Wafers,Finished Wafers,311.43
2025-02-01,Gallium Arsenide Wafers,Finished Wafers,343.04
2025-03-01,Gallium Arsenide Wafers,Finished Wafers,313.17
2025-04-01,Gallium Arsenide Wafers,Finished Wafers,319.08
2025-05-01,Gallium Arsenide Wafers,Finished Wafers,333.61
2025-06-01,Gallium Arsenide Wafers,Finished Wafers,307.44
2025-07-01,Gallium Arsenide Wafers,Finished Wafers,326.11
2025-08-01,Gallium Arsenide Wafers,Finished Wafers,339.93
2025-09-01,Gallium Arsenide Wafers,Finished Wafers,302.62
2025-10-01,Gallium Arsenide Wafers,Finished Wafers,325.56
2025-11-01,Gallium Arsenide Wafers,Finished Wafers,326.53
2025-12-01,Gallium Arsenide Wafers,Finished Wafers,333.21
2026-01-01,Gallium Arsenide Wafers,Finished Wafers,307.37
