Timestamp,Foundry_Region,Capacity_Utilization_Pct,Lead_Time_Weeks
2022-01-01,EMEA,94.7,33
2022-02-01,APAC,89.8,22
2022-03-01,APAC,78.7,17
2022-04-01,AMER,75.2,14
2022-05-01,APAC,75.1,25
2022-06-01,AMER,86.2,14
2022-07-01,APAC,80.2,12
2022-08-01,APAC,86.4,27
2022-09-01,EMEA,91.6,12
2022-10-01,EMEA,83.5,34
2022-11-01,AMER,80.6,17
2022-12-01,AMER,84.0,33
2023-01-01,EMEA,85.0,32
2023-02-01,AMER,89.8,26
2023-03-01,APAC,79.5,27
2023-04-01,EMEA,88.2,28
2023-05-01,APAC,97.9,25
2023-06-01,APAC,95.3,20
2023-07-01,APAC,96.4,28
2023-08-01,AMER,97.2,14
2023-09-01,APAC,76.7,32
2023-10-01,EMEA,81.2,14
2023-11-01,AMER,87.8,33
2023-12-01,AMER,96.4,25
2024-01-01,AMER,89.1,33
2024-02-01,EMEA,78.2,21
2024-03-01,AMER,82.4,19
2024-04-01,APAC,78.1,33
2024-05-01,EMEA,81.8,34
2024-06-01,AMER,93.6,35
2024-07-01,APAC,76.9,18
2024-08-01,APAC,89.4,31
2024-09-01,APAC,76.6,25
2024-10-01,AMER,95.5,34
2024-11-01,EMEA,83.6,13
2024-12-01,EMEA,90.5,30
2025-01-01,APAC,78.6,33
2025-02-01,AMER,94.8,28
2025-03-01,AMER,93.9,33
2025-04-01,EMEA,77.9,12
2025-05-01,APAC,81.2,23
2025-06-01,APAC,85.5,17
2025-07-01,APAC,79.5,26
2025-08-01,EMEA,89.7,31
2025-09-01,APAC,97.3,21
2025-10-01,AMER,75.9,35
2025-11-01,EMEA,85.0,34
2025-12-01,AMER,75.6,32
2026-01-01,AMER,94.2,20
