Respondent_ID,Region,Lead_Time_Constraint_Score,Price_Volatility_Impact,Survey_Weight
FOUNDRY_100,APAC,1,2,1.17
FOUNDRY_101,EMEA,2,1,1.06
FOUNDRY_102,APAC,1,5,1.1
FOUNDRY_103,EMEA,5,5,0.97
FOUNDRY_104,AMER,3,5,0.85
FOUNDRY_105,APAC,4,5,0.84
FOUNDRY_106,AMER,4,5,0.99
FOUNDRY_107,AMER,2,5,0.99
FOUNDRY_108,APAC,5,2,1.05
FOUNDRY_109,APAC,4,2,0.9
FOUNDRY_110,AMER,2,3,1.0
FOUNDRY_111,APAC,5,5,0.87
FOUNDRY_112,EMEA,2,1,1.15
FOUNDRY_113,EMEA,4,4,0.96
FOUNDRY_114,APAC,1,5,1.02
FOUNDRY_115,APAC,4,3,1.13
FOUNDRY_116,AMER,3,4,0.91
FOUNDRY_117,EMEA,2,5,0.84
FOUNDRY_118,EMEA,1,2,0.93
FOUNDRY_119,AMER,2,2,0.94
FOUNDRY_120,EMEA,1,4,1.08
FOUNDRY_121,AMER,5,3,1.15
FOUNDRY_122,APAC,5,5,0.91
FOUNDRY_123,AMER,5,1,1.03
FOUNDRY_124,EMEA,1,3,0.97
FOUNDRY_125,AMER,1,5,0.9
FOUNDRY_126,EMEA,5,1,0.9
FOUNDRY_127,AMER,1,1,1.0
FOUNDRY_128,APAC,5,3,0.84
FOUNDRY_129,APAC,1,3,0.84
FOUNDRY_130,EMEA,4,4,1.03
FOUNDRY_131,EMEA,5,5,0.92
FOUNDRY_132,APAC,4,3,0.89
FOUNDRY_133,APAC,1,5,1.17
FOUNDRY_134,AMER,2,5,1.09
FOUNDRY_135,APAC,3,3,0.85
FOUNDRY_136,APAC,2,2,1.05
FOUNDRY_137,APAC,5,2,0.96
FOUNDRY_138,EMEA,2,2,0.83
FOUNDRY_139,APAC,3,5,0.95
FOUNDRY_140,APAC,1,5,1.1
FOUNDRY_141,AMER,4,3,1.11
FOUNDRY_142,AMER,3,2,1.16
FOUNDRY_143,EMEA,3,5,0.8
FOUNDRY_144,AMER,2,4,0.85
FOUNDRY_145,APAC,1,1,1.07
FOUNDRY_146,AMER,1,4,0.91
FOUNDRY_147,APAC,5,2,0.8
FOUNDRY_148,APAC,5,5,0.82
FOUNDRY_149,APAC,3,4,0.83
FOUNDRY_150,EMEA,3,4,0.83
FOUNDRY_151,EMEA,1,1,1.08
FOUNDRY_152,EMEA,1,5,1.08
FOUNDRY_153,EMEA,1,3,0.91
FOUNDRY_154,AMER,4,4,0.93
FOUNDRY_155,AMER,4,4,0.99
FOUNDRY_156,AMER,4,2,0.91
FOUNDRY_157,APAC,1,4,1.19
FOUNDRY_158,AMER,1,1,0.92
FOUNDRY_159,APAC,4,5,0.85
FOUNDRY_160,EMEA,5,2,0.97
FOUNDRY_161,APAC,1,2,0.83
FOUNDRY_162,AMER,2,3,0.82
FOUNDRY_163,EMEA,1,1,0.99
FOUNDRY_164,EMEA,1,3,1.04
FOUNDRY_165,EMEA,1,3,1.14
FOUNDRY_166,APAC,1,2,0.81
FOUNDRY_167,EMEA,1,5,0.82
FOUNDRY_168,AMER,4,1,1.01
FOUNDRY_169,APAC,3,5,1.03
FOUNDRY_170,APAC,5,2,1.14
FOUNDRY_171,APAC,5,1,0.85
FOUNDRY_172,EMEA,5,5,0.88
FOUNDRY_173,APAC,1,2,0.94
FOUNDRY_174,EMEA,2,2,1.01
FOUNDRY_175,AMER,3,3,0.92
FOUNDRY_176,APAC,4,5,0.84
FOUNDRY_177,EMEA,1,1,0.85
FOUNDRY_178,EMEA,5,5,1.06
FOUNDRY_179,EMEA,3,4,1.19
FOUNDRY_180,AMER,2,2,0.96
FOUNDRY_181,EMEA,3,2,0.94
FOUNDRY_182,AMER,1,4,0.92
FOUNDRY_183,AMER,3,1,1.18
FOUNDRY_184,AMER,1,2,1.11
FOUNDRY_185,APAC,2,5,0.94
FOUNDRY_186,AMER,3,3,0.9
FOUNDRY_187,EMEA,1,3,0.86
FOUNDRY_188,APAC,3,3,1.01
FOUNDRY_189,AMER,5,2,0.89
FOUNDRY_190,APAC,5,2,0.91
FOUNDRY_191,APAC,5,1,1.01
FOUNDRY_192,AMER,2,1,1.0
FOUNDRY_193,APAC,3,1,0.84
FOUNDRY_194,EMEA,1,3,1.17
FOUNDRY_195,APAC,1,2,1.15
FOUNDRY_196,APAC,3,5,1.19
FOUNDRY_197,EMEA,2,4,0.95
FOUNDRY_198,AMER,5,2,0.81
FOUNDRY_199,EMEA,3,3,1.01
